PersonName,BirthPlace,Description,WikipediaURL,WikiText,embedding_text,cluster,cluster_prob,x,y,cluster_label
Бочек Петро Семенович,Ображіївка,"Молодший лейтенант Радянської Армії, учасник Німецько-радянської війни, Герой Радянського Союзу",https://uk.wikipedia.org/wiki/Бочек_Петро_Семенович,"бочек петро семенович молодший лейтенант радянської армії, учасник німецько-радянської війни, герой радянського союзу бочек петро семенович (у нагородному листі — бачок) (1925—2018)  молодший лейтенант радянської армії, полковник міліції, учасник німецько-радянської війни, герой радянського союзу (1945).",Молодший лейтенант Радянської Армії учасник Німецько-радянської війни Герой Союзу,22,0.731766704643842,23.109085,2.3035882,22
Брахнова Ірина Тихонівна,Носівка,український лікар і науковець-токсиколог,https://uk.wikipedia.org/wiki/Брахнова_Ірина_Тихонівна,брахнова ірина тихонівна український лікар і науковець-токсиколог ірина тихонівна брахнова (нар. 26 січня 1925 в м. носівка чернігівської області — пом. 29 жовтня 2001 в києві) — український лікар і науковець-токсиколог. доктор медичних наук (1972).,Лікар і науковець-токсиколог,32,0.5500503675155091,5.5647607,-0.17803176,32
Василій (Боднарчук),Іване-Пусте,"український православний діяч, єпископ УАПЦ",https://uk.wikipedia.org/wiki/Василій_(Боднарчук),"василій (боднарчук) український православний діяч, єпископ уапц митрополи́т терно́пільський і буча́цький васи́лій (світське ім'я іван миколайович боднарчук; 28 січня 1925, іване-пусте, нині борщівський район тернопільська область — 21 січня 2006) — український православний діяч, єпископ уапц. митрополит тернопольський та бучацький упц кп.
колишній вояк упа, в'язень концтаборів, активний борець за автокефалію української...",Православний діяч єпископ УАПЦ,20,0.8595166603890761,9.463867,21.222956,20
Верменич Володимир Миколайович,Глобинський район,"український композитор, хоровий диригент",https://uk.wikipedia.org/wiki/Верменич_Володимир_Миколайович,"верменич володимир миколайович український композитор, хоровий диригент володи́мир микола́йович верме́нич (3 серпня 1925, бориси, глобинський район, кременчуцька округа, нині — кременчуцького району полтавської області — 11 грудня 1986, київ) — український композитор, хоровий диригент, педагог.",Композитор хоровий диригент,27,1.0,-0.8319689,0.06345585,27
Патріарх Київський Володимир,Химчин,патріарх Української православної церкви Київського патріархату,https://uk.wikipedia.org/wiki/Володимир_(патріарх_Київський),"патріарх київський володимир патріарх української православної церкви київського патріархату святійший патріарх київський і всієї руси-україни володимир (васи́ль омеля́нович романю́к; 9 грудня 1925, с. хімчин,  україна — 14 липня 1995, київ, україна) —  український православний релігійний діяч, богослов, патріарх київський і всієї руси-україни упц київського патріархату (1993—1995).
відповідно до українського законодавства є борцем за незалежність...",Патріарх Української православної церкви Київського патріархату,20,1.0,10.022688,21.648453,20
Вольський Петро Дмитрович,Шимкент,український живописець і художник театру,https://uk.wikipedia.org/wiki/Вольський_Петро_Дмитрович,"вольський петро дмитрович український живописець і художник театру петро дмитрович во́льський (нар. 18 травня 1925, шимкент) — український художник; член спілки радянських художників україни з 1960 року.",Живописець і художник театру,15,0.6134693517501226,-16.783094,-4.1587005,15
Гонтар Станіслав Якович,Донецьк,український радянський художник,https://uk.wikipedia.org/wiki/Гонтар_Станіслав_Якович,"гонтар станіслав якович український радянський художник станіслав якович го́нтар (нар. 22 червня 1925, сталіно — пом. 23 червня 1970, харків) — український радянський художник; член харківської організації спілки художників україни з 1960 року.",Художник,2,1.0,-25.810684,-43.645176,2
Гончар Іван Васильович,Носівка,"український педагог, учасник Німецько-радянської війни, орденоносець, директор Носівської середньої школи 1",https://uk.wikipedia.org/wiki/Гончар_Іван_Васильович,"гончар іван васильович український педагог, учасник німецько-радянської війни, орденоносець, директор носівської середньої школи № 1 іван васильович гончар (народився 27 грудня 1925 в місті носівці — помер 29 квітня 2019, за іншими даними 30 квітня) — педагог, учасник німецько-радянської війни, орденоносець, директор носівської середньої школи № 1 (1967—1980).",Педагог учасник Німецько-радянської війни орденоносець директор Носівської середньої школи 1,22,0.4449557123394347,22.287788,2.910612,22
Єва Грігаші,Берегове,"угорська перекладачка, поетеса і журналістка",https://uk.wikipedia.org/wiki/Єва_Грігаші,"єва грігаші угорська перекладачка, поетеса і журналістка єва грігаші (також єва ґріґаші, угор. grigássy éva: 22 серпня 1925(19250822), берегове, тепер закарпатська область — 25 вересня 2002, будапешт, угорщина) — угорська перекладачка, поетеса і журналіст. перекладала угорською твори української літератури.",Угорська перекладачка поетеса і журналістка,33,0.9684954240307984,-2.1361842,8.969864,33
Гузар Володимир Станіславович,Одеса,український актор театру і кіно,https://uk.wikipedia.org/wiki/Гузар_Володимир_Станіславович,"гузар володимир станіславович український актор театру і кіно володи́мир станісла́вович гу́зар (нар. 11 листопада 1925(19251111), одеса — 6 червня 2009, нью-йорк) — актор театру і кіно. заслужений артист урср (1974).",Актор театру і кіно,15,0.8602295622950835,-18.145876,-4.733015,15
Гулей Анастасія Василівна,Грабарівка,"громадська діячка, колишня увязнена концтаборів",https://uk.wikipedia.org/wiki/Гулей_Анастасія_Василівна,"гулей анастасія василівна громадська діячка, колишня ув'язнена концтаборів анастасі́я васи́лівна гуле́й, до шлюбу пляшечник (12 грудня 1925, с. грабарівка, пирятинський р-н, полтавська обл.) — голова української організації борців антифашистського опору, активна громадська діячка, видавниця. жертва сталінських репресій, колишня ув'язнена нацистських концтаборів аушвіц, бухенвальд та берген-бельзен.",Громадська діячка колишня увязнена концтаборів,34,1.0,-6.5558915,11.752741,34
Гумецька Ася,Харків,українська американська славістка,https://uk.wikipedia.org/wiki/Гумецька_Ася_Сергіївна,"гумецька ася українська американська славістка а́ся гуме́цька (англ. assya humesky, при народженні — еста сергіївна пилипенко, 23 травня 1925, харків — 31 березня 2023, челсі, мічиган) — українсько-американська славістка. професор мічиганського університету.
дочка українського письменника доби розстріляного відродження сергія пилипенка.",Американська славістка,16,0.6928991629581274,-4.981498,17.054674,16
Ярослав Гунька,Урмань,"український військовик, громадський діяч, вояк 14-ї гренадерської дивізії Ваффен СС Галичина",https://uk.wikipedia.org/wiki/Ярослав_Гунька,"ярослав гунька український військовик, громадський діяч, вояк 14-ї гренадерської дивізії ваффен сс «галичина» ярослав гунька (нар. 19 березня 1925, урмань, тернопільське воєводство) — вояк 14-ї гренадерської дивізії ваффен сс «галичина», український громадський діяч діаспори, меценат, почесний громадянин міста бережани тернопільської області.",Військовик громадський діяч вояк 14-ї гренадерської дивізії Ваффен СС Галичина,37,0.9441413378689643,15.229567,14.09256,37
Дмитриченко Володимир Савелійович,,"Український науковець-філософ, історик філософії, педагог",https://uk.wikipedia.org/wiki/Дмитриченко_Володимир_Савелійович,"дмитриченко володимир савелійович український науковець-філософ, історик філософії, педагог володимир савелійович дмитриченко (15 квітня 1925, білозір'я — 22 грудня 1981, київ) — український науковець-філософ, історик філософії, педагог. доктор філософських наук (1978), професор. шістдесятник, засуджував радянський тоталітарний режим, активно боровся з офіційною партійною історіографією, наголошував на ідеях незалежності та свободи україни...",Науковець-філософ історик філософії педагог,32,0.43395727260574724,8.170243,3.3935115,32
Дужа Марія Теодорівна,Речичани,"українська громадсько-політична діячка, політувязнена",https://uk.wikipedia.org/wiki/Дужа_Марія_Теодорівна,"дужа марія теодорівна українська громадсько-політична діячка, політув'язнена марія теодорівна макогон, у шлюбі дужа (2 лютого 1925, речичани — пом. 13 квітня 2019, львів) — громадсько-політична діячка, дружина референта пропаганди оун петра дужого, політув'язнена.",Громадсько-політична діячка політувязнена,34,1.0,-7.609075,11.489113,34
Дяченко Микола Тимофійович,Луганське,"український музеєзнавець, освітянин, історик, науковець",https://uk.wikipedia.org/wiki/Дяченко_Микола_Тимофійович,"дяченко микола тимофійович український музеєзнавець, освітянин, історик, науковець дяченко микола тимофійович (нар. 1 січня 1925, луганське, бахмутський район, луганська область, україна — 27 липня 1983, харків, україна) — український музеєзнавець, освітянин, історик, науковець, автор книг з історії харкова та харківщини. кандидат історичних наук, доцент.",Музеєзнавець освітянин історик науковець,38,0.7565644351081593,7.020484,5.3191695,38
Анатолій Ефрос,Харків,"радянський режисер театру і кіно, педагог",https://uk.wikipedia.org/wiki/Ефрос_Анатолій_Васильович,"анатолій ефрос радянський режисер театру і кіно, педагог (1925–87) анатолій васильович ефрос (справжнє ім'я: натан ісайович ефрос; 3 липня 1925, харків, урср, срср — 13 січня 1987, москва, ррфср, срср) — радянський режисер театру і кіно, педагог. заслужений діяч мистецтв ррфср (1976).",Режисер театру і кіно педагог,15,1.0,-16.597626,-3.7141364,15
Жилін Георгій Семенович,Київ,український спортсмен та тренер,https://uk.wikipedia.org/wiki/Жилін_Георгій_Семенович,"жилін георгій семенович український спортсмен та тренер гео́ргій семе́нович жи́лін (нар. 18 серпня 1925(19250818) — пом. 12 вересня 1997) — український академічний веслувальник, дворазовий призер олімпійських ігор. чемпіон і призер чемпіонатів європи, неодноразовий чемпіон срср.
заслужений майстер спорту срср (1956).",Спортсмен та тренер,12,0.7410379499632122,13.566776,-13.475804,12
Жукова Алла Євгенівна,Київ,"кінознавець, кандидат мистецтвознавства",https://uk.wikipedia.org/wiki/Жукова_Алла_Євгенівна,"жукова алла євгенівна кінознавець, кандидат мистецтвознавства жукова алла євгенівна (11 березня 1925, київ, урср — 3 січня 2016, київ, україна) — український кінознавець. кандидат мистецтвознавства (1953). лауреат премії спілки кінематографістів урср (1978).
народилася 1925 року в києві в родині службовця. закінчила філологічний факультет київського державного університету ім. т. г. шевченка (1949) та аспірантуру...",Кінознавець кандидат мистецтвознавства,14,0.5889963737490093,-3.3224583,-17.338081,14
Загоруй Петро Іларіонович,Мельниківці,"радянський господарський, державний і політичний діяч",https://uk.wikipedia.org/wiki/Загоруй_Петро_Іларіонович,"загоруй петро іларіонович радянський господарський, державний і політичний діяч петро іларіонович загоруй (нар. 1925, мельниківці — пом. 6 листопада 1992) — радянський господарський, державний і політичний діяч.",Господарський державний і політичний діяч,37,0.9011284937721947,14.509694,11.603667,37
Зарецький Віктор Іванович,Білопілля,український радянський художник і педагог,https://uk.wikipedia.org/wiki/Зарецький_Віктор_Іванович,"зарецький віктор іванович український радянський художник і педагог ві́ктор іва́нович заре́цький (8 лютого 1925, білопілля — 23 серпня 1990, конча-озерна) — український радянський художник і педагог; член спілки радянських художників україни з 1956 року. лауреат державної премії україни імені тараса шевченка за 1994 рік (посмертно). чоловік алли горської (з 1952 року) та майї григор'євої (з 1978 року). батько мистецтвознавця...",Художник і педагог,11,1.0,-13.919931,-10.880123,11
Баранський Збіґнєв,Тютьків,"польський літературознавець, історик української та російської літератури",https://uk.wikipedia.org/wiki/Баранський_Збіґнєв,"баранський збіґнєв польський літературознавець, історик української та російської літератури баранський збіґнєв (пол. barański zbigniew; 7 січня 1925, с. тютьків, нині микулинецька селищна громада тернопільського району тернопільської області  24 грудня 2009, м. вроцлав, польща) — польський літературознавець, історик української та російської літератури. член комітету слов'янознавства польської ан.",Літературознавець історик української та російської літератури,42,1.0,6.018604,7.499023,42
Зої Клусакова-Свободова,Ужгород,"чеська педагогиня, письменниця, перекладачка та економістка",https://uk.wikipedia.org/wiki/Зої_Клусакова-Свободова,"зої клусакова-свободова чеська педагогиня, письменниця, перекладачка та економістка зої клусакова-свободова(чеськ. zoe klusáková-svobodová, 4 грудня 1925, ужгород — 12 грудня 2022) — чеська педагогиня, письменниця, перекладачка та економістка, дочка генерала людвіка свободи, президента чехословаччини 1968–1975, дружина мілана клусака, дипломата та багаторічного міністра культури чехословаччини.",Чеська педагогиня письменниця перекладачка та економістка,33,0.8987512875923171,-1.946706,8.351756,33
Ішин Микола Данилович,Почаїв,"український відомий інженер-раціоналізатор, фахівець з технології обробки деревини",https://uk.wikipedia.org/wiki/Ішин_Микола_Данилович,"ішин микола данилович український відомий інженер-раціоналізатор, фахівець з технології обробки деревини ішин микола данилович (нар. 28 грудня 1925(19251228) — 18 травня 2013) — український відомий інженер-раціоналізатор, фахівець з технології обробки деревини.
народився в м. почаєві кременецького р-ну тернопільської обл., у 1949 році закінчив львівський механічний технікум мінлісбумпрому срср, а в 1955 році — сільськогосподарську академію за спеціальністю...",Відомий інженер-раціоналізатор фахівець з технології обробки деревини,32,0.5311357910672964,9.416129,-0.8338197,32
Кавун Іван,Реймс,"французький живописець, графік і скульптор українського походження",https://uk.wikipedia.org/wiki/Кавун_Іван,"кавун іван французький живописець, графік і скульптор українського походження каву́н іва́н (25 листопада 1925, реймс, франція — 16 липня 2001, провінція овернь, франція) — французький живописець, графік і скульптор українського походження.",Французький живописець графік і скульптор українського походження,18,0.8818455754743635,-0.6530513,14.309842,18
Кириченко Микола Овксентійович,Томилівка,український художник і мистецтвознавець,https://uk.wikipedia.org/wiki/Кириченко_Микола_Овксентійович,"кириченко микола овксентійович український художник і мистецтвознавець микола овксентійович кириче́нко (нар. 22 травня 1925, томилівка — пом. 8 липня 2005, київ) — український художник, мистецтвознавець і педагог; кандидат мистецтвознавства з 1970 року, кандидат педагогічних наук з 1990 року, професор з 1986 року. член спілки художників україни з 1993 року. батько художників івана і віктора кириченків.",Художник і мистецтвознавець,24,1.0,-0.84776926,-4.327464,24
Климонов Володимир Тимофійович,Тамбов,український радянський живописець,https://uk.wikipedia.org/wiki/Климонов_Володимир_Тимофійович,"климонов володимир тимофійович український радянський живописець володимир тимофійович кли́монов (нар. 5 липня 1925, тамбов — пом. 22 вересня 1973, київ) — український радянський живописець; член спілки радянських художників україни з 1959 року.",Живописець,1,0.8855265077299842,8.266257,-50.22263,1
Козак-Савицька Ірина,Львів,"українська повстанка, діячка ОУН",https://uk.wikipedia.org/wiki/Козак-Савицька_Ірина,"козак-савицька ірина українська повстанка, діячка оун ірена йосифівна савицька, у шлюбі козак (псевдо: «бистра»; нар. 30 жовтня 1925, львів — пом. 19 листопада 2015, мюнхен) — діячка оун з гімназичних часів, заступниця референта учх крайового проводу оун зуз, зв'язкова романа шухевича. лицар бронзового хреста заслуги упа.",Повстанка діячка ОУН,23,1.0,15.251258,3.598349,23
Коломійцев Віталій Петрович,Паплинці,"український науковець-оториноларинголог, педагог",https://uk.wikipedia.org/wiki/Коломійцев_Віталій_Петрович,"коломійцев віталій петрович український науковець-оториноларинголог, педагог віталій петрович коломійцев (12 грудня 1925, паплинці — 15 грудня 2018, київ) — український науковець-оториноларинголог, педагог. кандидат медичних наук, доцент. розробник нової класифікації синуситів, блокади відієвих нервів, дослідник широкого спектра проблем оториноларингології. автор близько 80-ти наукових робіт, учень професора якова шварцберга...",Науковець-оториноларинголог педагог,32,0.653711085762133,6.9679885,0.058197077,32
Кравець Марія Онуфріївна,Обухів,українська театральна акторка і режисерка телебачення,https://uk.wikipedia.org/wiki/Кравець_Марія_Онуфріївна,"кравець марія онуфріївна українська театральна акторка і режисерка телебачення марі́я ону́фріївна краве́ць (7 грудня 1925, м. обухів київської області — 27 липня 2024) — українська театральна актриса і телережисерка. голова первинного осередку національної спілки театральних діячів україни в будинку ветеранів сцени імені наталії ужвій.",Театральна акторка і режисерка телебачення,27,0.6812174589102991,-9.8690605,2.9601517,27
Кравченко Володимир Данилович,Уразово,український радянський живописець,https://uk.wikipedia.org/wiki/Кравченко_Володимир_Данилович,"кравченко володимир данилович український радянський живописець володимир данилович кра́вченко (нар. 12 лютого 1925, уразово — пом. 14 травня 1988, київ) — український радянський живописець і педагог; член спілки радянських художників україни з 1960 року.",Живописець,1,0.8047253123690533,8.547503,-49.638927,1
Крот Йосип Тимофійович,Степань,діяч українського визвольного руху,https://uk.wikipedia.org/wiki/Крот_Йосип_Тимофійович,"крот йосип тимофійович діяч українського визвольного руху йосип тимофійович крот, псевдо «яблуня» (нар. 19 серпня 1925(19250819), степань, рівненська область — пом. 13 травня 2019, труди, рівненська область) — підпільник оун, вояк упа. у документах було помилково вказано, що народився 1930 року.",Діяч українського визвольного руху,23,1.0,14.865643,5.4389462,23
Кудін В'ячеслав Олександрович,Терлиця,"український кінознавець, філософ",https://uk.wikipedia.org/wiki/Кудін_В'ячеслав_Олександрович,"кудін в'ячеслав олександрович український кінознавець, філософ вячеслав олександрович ку́дін (нар.19 лютого 1925, с. терлиця, україна — пом. 10 грудня 2018 року, прінстон (нью джерсі), сша — український кінознавець, філософ. видатний вчений хх століття, заслужений працівник культури української рср (1968). доктор філософських наук (1963), професор (1965). лауреат республіканської премії в галузі літературно-художньої...",Кінознавець філософ,14,0.7335732507194305,-1.6781322,-18.67446,14
Кузьмінков Лель Миколайович,Маріуполь,"український художник, скульптор",https://uk.wikipedia.org/wiki/Кузьмінков_Лель_Миколайович,"кузьмінков лель миколайович український художник, скульптор лель миколайович кузьмінко́в (8 жовтня 1925, маріуполь — 15 березня 2012, маріуполь) — український художник і скульптор грецького походження; член спілки радянських художників україни з 1960 року (маріупольська організація) та ма­­ріупольського товариства греків (завідувач відділу наукових досліджень).",Художник скульптор,7,1.0,-17.973047,-25.108753,7
Ламах Валерій Павлович,Лебедин,український-радянський художник,https://uk.wikipedia.org/wiki/Ламах_Валерій_Павлович,"ламах валерій павлович український-радянський художник  (1925-1978) ла́мах вале́рій па́влович (6 березня 1925, лебедин — 25 травня 1978, київ) — український радянський художник, представник покоління шістдесятників і мистецтва андеграунду; член спілки радянських художників україни з 1956 року. чоловік художниці тканин аліни ламах, батько художниці людмили ламах.",Український-радянський художник,24,0.7367874014611191,1.369708,-4.7470074,24
Логвинова Ніна Романівна,Харків,"Українська театрознавиця, педагог, Кандидат філологічних наук, професор Харківського національного університету мистецтв",https://uk.wikipedia.org/wiki/Логвинова_Ніна_Романівна,"логвинова ніна романівна українська театрознавиця, педагог. кандидат філологічних наук, професор харківського національного університету мистецтв ні́на рома́нівна ло́гвинова (18 грудня 1924, харків, урср — 3 січня 2017, харків, україна) — українська театрознавиця, педагогиня. кандидатка філологічних наук (1973), професорка (1992) харківського національного університету мистецтв. членкиня нстду (1963). лауреатка муніципальної премії ім. григорія квітки-основ'яненка в галузі театральної критики...",Театрознавиця педагог Кандидат філологічних наук професор Харківського національного університету мистецтв,32,0.43395727260574724,9.004331,2.4832835,32
Маєвський Олександр Григорович,Київ,фахівець у галузі машинобудування,https://uk.wikipedia.org/wiki/Маєвський_Олександр_Григорович,"маєвський олександр григорович фахівець у галузі машинобудування маєвський олександр григорович — фахівець у галузі машинобудування. доктор технічних наук (1972), професор (1973).",Фахівець у галузі машинобудування,32,1.0,10.262638,-1.2019598,32
Матвєєв Юрій Володимирович,Казань,український радянський художник,https://uk.wikipedia.org/wiki/Матвєєв_Юрій_Володимирович,"матвєєв юрій володимирович український радянський художник юрій володимирович матвє́єв (15 січня 1925, казань — 24 вересня 1988, харків) — український радянський художник театру і живописець; член харківської організації спілки радянських художників україни з 1958 року.",Художник,2,0.7800733609207879,-25.374182,-43.55462,2
Матюшенко Віктор Іванович,Дніпро,український радянський живописець,https://uk.wikipedia.org/wiki/Матюшенко_Віктор_Іванович,"матюшенко віктор іванович український радянський живописець віктор іванович матюше́нко (5 червня 1925, катеринослав — 29 листопада 1984, дніпропетровськ) — український радянський живописець; член спілки радянських художників україни з 1969 року.",Живописець,1,0.8490288403463275,8.3066025,-49.956398,1
Мелашунас-Ферро Валерія Мартинівна,Ананьїв,українська артистка балету та балетмейстерка,https://uk.wikipedia.org/wiki/Мелашунас-Ферро_Валерія_Мартинівна,"мелашунас-ферро валерія мартинівна українська артистка балету та балетмейстерка валерія мартинівна мелашунас-ферро (нар. 15 березня 1925, ананьїв — пом. 7 лютого 1996) — українська артистка балету, балетмейстерка. народна артистка україни (з 1993 року).",Артистка балету та балетмейстерка,29,0.783545042882757,-6.3438654,-1.0633098,29
Ніколаєв Микола Борисович,Баранівка,український художник декоративно-ужиткового мистецтва,https://uk.wikipedia.org/wiki/Ніколаєв_Микола_Борисович,"ніколаєв микола борисович український художник декоративно-ужиткового мистецтва микола борисович нікола́єв (7 лютого 1925, баранівка — 2 лютого 2012, буди) — український художник декоративно-ужиткового мистецтва; член спілки радянських художників україни з 1965 року.",Художник декоративно-ужиткового мистецтва,24,0.6813410509227061,0.057043847,-8.287518,24
Олійник Олексій Петрович,Шпола,український радянський художник,https://uk.wikipedia.org/wiki/Олійник_Олексій_Петрович,"олійник олексій петрович український радянський художник олексій петрович олі́йник (нар. 25 квітня 1925, шпола — пом. 24 жовтня 1993, буча) — український радянський графік; член спілки радянських художників україни з 1960 року. чоловік художниці любові панченко.",Художник,2,0.3832906426387731,-26.146181,-43.49008,2
Орленко Леонід Михайлович,Тарасівка,український художник-монументаліст,https://uk.wikipedia.org/wiki/Орленко_Леонід_Михайлович,"орленко леонід михайлович український художник-монументаліст леонід михайлович орле́нко (нар. 2 травня 1925, тарасівка — пом. 1994) — український художник-монументаліст; член спілки художників україни з 1964 року. заслужений художник урср з 1975 року.",Художник-монументаліст,24,1.0,-0.8988327,-6.745318,24
Осташевська Галина Андріївна,Волочиськ,"фронтова медсестра, письменниця, журналістка",https://uk.wikipedia.org/wiki/Осташевська_Галина_Андріївна,"осташевська галина андріївна фронтова медсестра, письменниця, журналістка галина андріївна осташевська (29 грудня 1925, за іншими даними — 1923, с. фрідріхове волочиського району кам'янець-подільської області; — 13 червня 2018, уфа, росія) — фронтова медсестра, письменниця, журналістка, заслужений працівник культури башкирської арср (1980). єдина з республіканських журналістів, що має срібну медаль вднг.",Фронтова медсестра письменниця журналістка,33,1.0,-1.9755055,6.774879,33
Островський Олег Григорович,Чернелів-Руський,"український інженер, вчений, художник, громадський діяч",https://uk.wikipedia.org/wiki/Островський_Олег_Григорович,"островський олег григорович український інженер, вчений, художник, громадський діяч островський олег григорович (16.04. 1925–06.06.2003) — науковець, митець, педагог, меценат. доктор технічних наук. член спілки художників україни.",Інженер вчений художник громадський діяч,36,1.0,13.265059,12.467448,36
Павлюк Аркадій Григорович,Київ,український художник і скульптор,https://uk.wikipedia.org/wiki/Павлюк_Аркадій_Григорович,"павлюк аркадій григорович український художник і скульптор аркадій григорович павлю́к (19 серпня 1925, київ — 2 травня 2019, вінниця) — український художник, скульптор і педагог; член вінницької організації національної спілки художників україни з 1993 року.",Художник і скульптор,24,1.0,-2.4796014,-4.4820027,24
Пазич Василь Іларіонович,Тарасівка,"радянський і український співак, бас",https://uk.wikipedia.org/wiki/Пазич_Василь_Іларіонович,"пазич василь іларіонович радянський і український співак, бас василь іларіонович пазич (25 жовтня 1925, тарасівка (звенигородський район) — 26 липня 1997, київ) — український оперний співак (бас). заслужений артист україни (згідно інших даних — народний артист україни).",Співак бас,27,0.8277247061005525,-3.4228923,2.2656817,27
Пасічний Петро,,"український націоналіст, вояк УПА",https://uk.wikipedia.org/wiki/Пасічний_Петро,"пасічний петро український націоналіст, вояк упа петро пасічний (псевдо: «чорний», «петро»; 1925, с. середня, калуський район, івано-франківська область — 14 квітня 1960, біля села божиків, бережанський район, тернопільська область) — вояк упа, член подільського окружного проводу оун, останній керівник боївки оун, останнього бою підпілля оун.",Націоналіст вояк УПА,23,0.8883711816458185,15.730968,4.1813374,23
Паторжинська Галина Іванівна,Дніпро,українська піаністка і педагогиня,https://uk.wikipedia.org/wiki/Паторжинська_Галина_Іванівна,"паторжинська галина іванівна українська піаністка і педагогиня галина іванівна паторжинська (20 вересня 1925, катеринослав — 10 січня 2002) — українська піаністка і педагог. заслужена артистка урср (з 1991 року).",Піаністка і педагогиня,29,0.7591550697791348,-5.428672,0.15715753,29
